Gender,Age,Experience,Education Level,Test Score,Selected
Other,39,21,Bachelor,89,0
Male,32,23,Bachelor,65,0
Other,57,2,Bachelor,63,0
Other,59,8,Master,74,1
Male,32,17,High School,95,0
Male,49,21,High School,48,1
Other,48,4,High School,89,0
Female,56,21,Diploma,72,0
Other,34,29,PhD,67,1
Other,30,0,High School,63,0
Other,55,28,High School,94,0
Other,54,12,Master,40,0
Male,33,6,Bachelor,60,0
Other,45,22,Master,55,0
Female,51,1,Diploma,40,0
Male,49,8,High School,74,0
Female,41,21,Bachelor,97,0
Female,54,28,PhD,82,1
Female,22,28,Diploma,96,1
Female,40,0,High School,91,0
Male,38,20,PhD,81,1
Male,18,9,Bachelor,93,1
Female,30,13,Diploma,65,0
Female,25,28,High School,52,0
Male,18,6,PhD,44,1
Male,32,9,Bachelor,97,0
Male,27,11,Bachelor,63,0
Other,18,14,Master,79,1
Other,31,12,PhD,40,1
Other,59,15,PhD,49,0
Female,54,23,Master,87,0
Other,58,3,Master,45,0
Female,38,24,Diploma,96,1
Female,18,11,High School,77,0
Other,44,4,PhD,66,1
Female,48,18,High School,65,0
Other,24,0,PhD,51,1
Other,35,24,PhD,95,0
Male,53,18,Diploma,55,0
Other,41,14,Master,92,1
Male,55,26,Diploma,76,1
Other,52,25,Master,58,1
Other,21,2,High School,64,0
Male,19,22,Master,60,0
Male,52,11,Diploma,92,1
Other,35,18,Bachelor,75,0
Female,19,15,Diploma,73,0
Male,44,27,Bachelor,94,0
Female,57,21,High School,99,0
Female,24,20,Bachelor,44,0
Female,58,14,Master,52,1
Male,48,8,Bachelor,62,1
Female,58,13,Diploma,52,0
Male,51,7,High School,96,0
Female,24,17,Master,58,1
Other,46,17,Diploma,91,0
Other,25,16,Bachelor,69,0
Male,50,0,Master,48,0
Other,20,15,High School,80,0
Other,57,26,PhD,74,0
Female,49,0,Master,93,1
Male,36,21,PhD,82,0
Female,21,6,Bachelor,86,1
Female,27,24,Master,78,1
Female,35,0,PhD,55,0
Female,36,3,Master,56,1
Female,29,27,High School,40,0
Female,28,6,High School,67,0
Female,49,22,Bachelor,44,0
Male,23,28,Master,53,1
Other,55,18,Master,70,0
Female,45,4,High School,61,0
Female,43,26,Bachelor,88,1
Female,25,7,Master,89,1
Female,27,13,Master,78,0
Female,39,20,Master,95,0
Female,51,1,Bachelor,62,0
Other,39,23,Diploma,41,0
Other,39,1,Diploma,42,1
Female,23,27,High School,67,0
Other,48,17,PhD,66,1
Male,53,21,Bachelor,92,0
Female,28,27,PhD,45,0
Male,35,25,Diploma,77,1
Male,51,8,Diploma,69,0
Female,20,20,High School,47,0
Other,58,17,Master,63,0
Male,55,6,PhD,40,1
Female,53,10,Diploma,79,0
Male,34,22,Diploma,65,1
Male,47,20,Diploma,50,0
Male,47,4,PhD,82,0
Male,48,5,Master,87,1
Other,49,4,Master,97,0
Male,36,24,Master,61,0
Male,26,20,Bachelor,61,1
Male,33,7,Bachelor,96,0
Other,55,14,Diploma,66,0
Male,36,19,Diploma,66,1
Male,47,24,Master,73,0
Other,53,14,PhD,58,0
Other,28,11,PhD,88,1
Other,32,21,Diploma,86,0
Male,41,15,Bachelor,89,1
Other,58,13,High School,75,0
Other,38,2,High School,68,0
Male,27,23,Master,56,0
Other,59,7,Diploma,59,0
Male,42,9,Bachelor,57,0
Female,49,0,Master,99,1
Other,50,7,Bachelor,47,1
Female,41,14,PhD,68,0
Male,38,18,PhD,70,0
Other,43,13,PhD,49,0
Male,34,11,Diploma,80,1
Female,36,14,Master,51,0
Male,20,15,PhD,99,1
Other,30,4,High School,86,0
Other,19,0,PhD,97,0
Female,58,25,Diploma,47,0
Male,49,20,Diploma,88,0
Other,50,17,Diploma,57,0
Female,49,21,High School,41,0
Other,59,21,High School,53,0
Other,42,1,Bachelor,54,1
Male,20,27,Bachelor,99,1
Other,59,12,High School,81,1
Male,24,19,Master,43,0
Other,42,6,PhD,99,0
Female,40,23,Bachelor,45,1
Other,45,15,High School,67,0
Male,29,8,High School,72,0
Male,25,16,PhD,49,0
Female,52,22,PhD,78,1
Other,42,26,Master,78,0
Other,47,14,Master,72,0
Female,49,22,Bachelor,55,0
Other,53,11,Master,66,0
Other,49,13,High School,83,1
Male,42,15,High School,90,1
Other,43,19,Bachelor,83,1
Other,25,12,Bachelor,52,0
Female,22,24,Diploma,62,0
Female,19,2,High School,46,1
Male,36,14,Master,93,0
Other,20,24,Bachelor,57,1
Other,29,5,Diploma,73,0
Other,56,19,High School,41,0
Male,49,26,Diploma,46,0
Male,23,23,PhD,82,0
Female,25,17,PhD,84,0
Male,22,23,PhD,41,1
Other,30,29,Diploma,93,0
Other,48,0,Diploma,80,1
Male,30,14,Diploma,86,0
Other,18,27,Diploma,91,1
Other,21,11,Master,77,1
Male,37,18,PhD,59,0
Male,46,11,Master,61,1
Other,49,2,High School,40,0
Other,50,7,Master,83,1
Other,31,6,PhD,49,0
Female,36,26,Bachelor,73,0
Female,20,12,Master,57,1
Female,28,15,High School,97,0
Male,26,16,PhD,95,0
Female,45,2,PhD,45,0
Male,19,27,Master,42,0
Male,30,1,PhD,96,0
Female,52,28,Bachelor,63,0
Female,48,21,Bachelor,87,0
Female,31,7,High School,82,0
Other,32,26,Master,67,1
Female,22,0,Diploma,93,0
Other,56,22,Diploma,89,0
Male,51,6,High School,98,1
Other,55,6,High School,48,0
Female,19,28,PhD,64,1
Male,50,2,Bachelor,71,1
Male,44,1,PhD,82,0
Male,20,28,Bachelor,67,1
Other,19,16,Master,51,1
Female,45,14,PhD,69,0
Male,47,17,Diploma,78,1
Male,58,19,Master,43,0
Male,40,9,High School,55,1
Other,50,3,PhD,99,0
Other,31,24,Diploma,40,0
Female,31,21,High School,85,1
Other,30,7,Master,43,0
Male,21,2,Master,73,0
Female,36,5,High School,70,0
Male,41,1,Master,87,0
Male,53,7,PhD,93,1
Other,23,16,Master,88,0
Female,29,9,Bachelor,95,0
Other,26,18,Bachelor,51,1
Other,30,12,Diploma,42,1
Female,41,9,Diploma,43,0
Male,32,5,Bachelor,43,0
Male,47,26,High School,67,1
Female,49,21,Diploma,71,0
Male,49,6,Master,80,0
Female,51,13,PhD,71,0
Female,52,2,PhD,62,0
Other,35,7,PhD,64,1
Female,36,6,PhD,77,1
Other,32,21,PhD,85,1
Male,39,7,Master,41,1
Male,42,4,Diploma,81,0
Male,41,9,Bachelor,63,1
Male,23,9,High School,62,1
Other,53,5,High School,94,0
Male,27,21,Master,58,0
Female,29,18,Bachelor,50,0
Female,22,15,Diploma,49,0
Female,37,17,PhD,75,0
Other,54,12,Bachelor,69,0
Male,35,6,Bachelor,50,1
Male,57,9,Master,58,1
Male,50,5,Diploma,56,0
Other,58,1,PhD,90,0
Female,29,15,Bachelor,70,1
Female,50,3,PhD,70,0
Male,22,2,Master,72,1
Female,26,2,Diploma,81,1
Female,50,7,Master,56,1
Other,47,11,Diploma,45,0
Other,34,1,Diploma,55,0
Other,52,13,Master,75,0
Other,33,22,High School,64,1
Male,57,17,PhD,43,0
Other,36,6,Master,48,1
Female,19,12,Diploma,47,0
Male,23,8,Bachelor,57,0
Female,59,14,Diploma,51,0
Female,28,8,High School,78,0
Female,26,10,Diploma,61,0
Other,44,3,Bachelor,87,0
Other,31,4,Master,93,0
Male,52,7,Diploma,48,0
Male,37,9,High School,98,0
Other,49,29,Diploma,91,1
Female,25,22,High School,71,1
Male,28,19,Diploma,58,0
Other,19,28,Diploma,63,0
Other,22,17,Bachelor,72,1
Other,47,17,PhD,51,0
Female,58,21,Master,98,0
Other,28,24,High School,54,0
Other,33,17,PhD,59,0
Other,42,10,PhD,62,0
Other,59,20,High School,71,0
Male,42,18,Diploma,60,0
Male,28,19,Diploma,93,0
Other,18,11,Bachelor,74,0
Female,50,17,Diploma,80,1
Male,18,28,Diploma,79,0
Other,26,5,Master,58,0
Male,44,17,Master,86,0
Male,55,2,Diploma,85,0
Female,36,15,High School,49,0
Other,57,8,Diploma,93,0
Other,34,26,High School,85,1
Female,29,5,Bachelor,40,0
Female,19,12,Master,52,0
Other,25,26,Bachelor,95,1
Other,50,9,Master,94,0
Female,30,5,Bachelor,52,0
Male,38,16,PhD,74,0
Male,36,4,Diploma,84,1
Female,51,6,Diploma,96,0
Male,47,10,Diploma,97,0
Female,37,29,Master,42,0
Male,35,20,Master,86,1
Male,38,24,Diploma,78,1
Other,53,25,Diploma,60,0
Other,24,11,Bachelor,53,1
Male,22,14,High School,60,0
Male,26,8,Diploma,66,0
Other,35,1,PhD,51,0
Other,18,23,High School,60,0
Other,53,8,Diploma,47,0
Female,31,19,High School,48,0
Male,25,27,PhD,77,0
Other,54,15,High School,66,0
Male,37,28,High School,85,0
Female,48,1,Master,71,1
Female,24,24,Diploma,85,0
Other,58,19,Bachelor,41,1
Female,55,1,High School,64,0
Male,32,19,PhD,77,1
Other,52,5,Bachelor,89,0
Male,34,4,Master,51,0
Male,44,10,Diploma,58,0
Female,38,5,High School,60,0
Female,57,25,Diploma,87,0
Female,43,7,Master,91,1
Female,22,11,High School,95,1
Female,50,24,Master,66,0
Other,22,7,PhD,89,1
Male,45,23,Master,78,0
Male,38,5,PhD,68,0
Male,25,28,PhD,42,0
Male,19,12,Master,55,1
Female,54,0,Master,45,0
Male,31,18,High School,75,1
Other,51,12,Diploma,40,0
Other,54,4,Diploma,58,0
Male,38,25,PhD,43,1
Male,44,16,Bachelor,53,1
Other,35,12,Master,88,0
Other,22,16,Master,47,1
Female,51,22,High School,57,0
Other,35,26,Bachelor,84,1
Female,52,17,High School,53,0
Female,43,20,Bachelor,70,0
Female,46,13,Bachelor,94,1
Female,58,3,High School,47,0
Female,45,7,Master,45,0
Male,23,26,PhD,89,1
Other,43,27,PhD,96,0
Female,35,26,Bachelor,44,0
Other,47,16,High School,76,1
Other,50,8,PhD,52,1
Female,49,24,High School,73,0
Male,43,3,High School,99,0
Female,39,17,High School,71,0
Male,51,6,High School,59,0
Other,29,20,High School,59,0
Male,39,17,PhD,77,1
Male,38,11,Bachelor,73,0
Male,41,15,Bachelor,85,0
Other,42,28,Bachelor,54,0
Other,19,5,Diploma,62,0
Male,18,23,High School,73,0
Male,27,21,Diploma,87,1
Female,51,22,Master,45,1
Male,22,24,Bachelor,76,1
Female,34,12,Master,91,1
Male,18,2,Master,93,1
Female,31,24,Master,81,0
Other,38,9,Bachelor,90,0
Male,23,19,Bachelor,80,0
